ticketer,Cluster
FITB,0
CB,1
LKQ,2
CAT,3
MMC,4
CDW,4
SNPS,4
LIN,4
ALB,4
XEL,5
WEC,5
MTB,6
UNP,7
KMX,8
A,9
SLB,10
PARA,11
TPL,12
NKE,13
IVZ,14
AJG,15
PFG,16
LVS,17
CRL,18
AAPL,19
HWM,20
HBAN,21
CVX,22
OXY,23
KVUE,24
SW,24
SOLV,24
CPRT,25
NCLH,26
DASH,27
BK,28
UBER,29
AON,30
ADM,30
MTCH,31
FICO,32
IFF,33
HSY,34
VTR,35
GIS,36
EMR,37
CAH,38
NVDA,39
INCY,40
BLDR,41
AXP,42
TT,42
APTV,42
TEL,43
AWK,43
WST,44
POOL,44
DPZ,45
COR,46
WBD,47
C,48
INVH,49
FRT,50
FOXA,50
LW,51
VTRS,52
JBL,53
BLK,53
BAC,54
NWS,55
NWSA,55
PPL,56
REG,57
STT,58
TYL,59
BALL,60
PNC,60
AVGO,61
BR,62
WYNN,63
SJM,64
GLW,65
CCL,66
SBAC,66
TFC,67
K,68
NI,69
TSN,70
DXCM,71
KHC,72
SRE,73
ALL,74
SWKS,75
ARE,76
TAP,77
DG,78
ISRG,79
GRMN,79
NVR,79
GEHC,80
EXPD,81
MMM,82
CMCSA,83
MO,84
HRL,85
CPB,86
DAY,87
FDX,88
AOS,88
KO,88
DD,89
MOS,90
DOV,91
EXR,92
KR,93
RCL,94
LUV,95
DOC,96
CAG,97
LULU,98
CSGP,99
CMG,99
KMI,100
T,101
FSLR,102
WFC,103
TPR,104
UAL,105
EQIX,106
ROP,107
VRSK,107
MA,107
V,107
MRNA,108
PRU,109
SWK,110
CHTR,111
FAST,112
CBRE,113
MAR,113
MHK,114
MDT,115
CARR,116
F,117
SPG,118
HAS,119
ADSK,120
BDX,121
INTC,122
HAL,123
GEN,124
WDC,125
PFE,126
BG,127
PLTR,128
LYB,129
DTE,130
KIM,131
GL,132
NDAQ,133
ZBH,134
NFLX,135
COO,136
COF,137
ORLY,138
BA,138
DAL,139
ALLE,140
GPN,141
PCG,142
CSCO,143
UHS,144
WBA,145
VRSN,146
TRGP,147
RSG,148
TMUS,148
CPAY,148
BSX,148
APD,149
TMO,150
PLD,150
HOLX,150
DIS,150
MSCI,150
GD,151
WY,152
DLR,153
DE,154
TRMB,155
KLAC,156
DHR,156
IPG,157
VICI,158
PNW,159
BBY,160
MRK,161
AXON,162
HPQ,163
MPC,164
TDY,165
ERIE,166
HUM,167
DVN,168
ETN,169
BIIB,170
WELL,171
CNC,172
AFL,172
NRG,173
GE,173
DECK,174
ECL,175
DGX,176
TDG,177
TJX,177
ES,177
TECH,178
HST,179
EBAY,180
HII,181
ELV,182
SNA,183
HCA,183
IT,183
FANG,184
GEV,185
MU,186
KMB,187
NEM,188
CTSH,189
ADI,190
J,190
OMC,191
PM,192
FFIV,193
TRV,194
CBOE,194
AIZ,194
UPS,195
ULTA,196
EXE,197
CHD,198
HPE,199
MKC,200
PPG,201
CNP,202
EOG,203
VZ,204
HSIC,205
EIX,206
ADP,207
HD,207
DOW,207
MKTX,208
O,209
TKO,210
ENPH,211
GOOG,212
FDS,213
FE,214
GDDY,215
REGN,216
VLTO,217
CTVA,218
META,219
CF,220
LNT,221
RJF,222
MET,222
STZ,223
RL,224
CME,225
EXPE,226
MCHP,226
ROK,226
BEN,227
LYV,228
EG,229
QCOM,229
TSLA,230
EL,231
AMAT,232
PSX,233
ZBRA,234
ANET,235
AIG,236
EA,237
USB,238
RTX,239
CFG,240
SMCI,241
CHRW,242
LDOS,243
COST,244
AMD,245
LRCX,245
CVS,246
AME,247
EPAM,248
FTV,249
ACGL,250
WSM,251
KKR,251
IP,252
PNR,253
WDAY,254
IQV,255
KEY,256
CINF,257
ABT,257
ED,258
NUE,259
CMI,260
BKNG,261
MNST,262
MOH,262
INTU,263
FCX,263
MSFT,263
AMP,263
AMGN,263
CPT,263
VST,264
UDR,265
IR,266
XOM,267
NOW,268
MCO,268
SHW,268
ICE,268
SYY,269
CDNS,270
GNRC,271
PYPL,272
EMN,273
IBM,274
IRM,274
ABBV,275
MTD,275
JCI,276
MGM,277
ESS,278
MDLZ,279
NTAP,280
GM,281
DLTR,282
CI,283
APA,284
PTC,285
DFS,286
RF,287
WAT,288
LH,288
PAYX,289
WM,289
AEE,289
ADBE,290
HUBB,290
GWW,290
LLY,290
PWR,290
PANW,290
PCAR,290
LOW,291
ABNB,291
CRWD,292
LHX,293
GS,294
SCHW,295
EVRG,296
CSX,297
TXT,298
OKE,299
AEP,300
DRI,300
TTWO,301
CL,302
APH,303
NSC,304
PH,305
ANSS,305
APO,305
URI,305
SYF,306
EQT,307
AVB,308
FIS,309
JNJ,310
CCI,311
STX,311
COP,312
AMCR,312
ROST,313
LMT,314
VLO,315
DUK,316
DVA,317
ATO,318
ALGN,319
CLX,320
EQR,321
WTW,321
SPGI,321
SO,322
FI,323
D,324
LII,325
L,326
MAS,327
CMS,327
EW,328
GPC,329
VRTX,330
BKR,331
FTNT,332
WMB,333
PEG,334
PSA,335
PAYC,336
YUM,337
MCD,337
AKAM,338
BRO,339
SYK,339
JKHY,340
TER,341
TROW,342
BX,343
HES,344
BMY,345
AES,346
KEYS,347
EXC,348
MS,349
JPM,350
BAX,351
ON,352
CZR,353
VMC,354
MLM,354
LEN,355
ETR,355
ORCL,355
AVY,355
NTRS,356
TGT,357
NEE,358
RMD,358
STLD,359
PKG,360
HIG,361
ACN,362
STE,362
ZTS,362
PODD,363
NOC,364
WMT,365
PEP,366
AMT,367
UNH,368
TXN,369
ROL,369
NDSN,369
ITW,369
OTIS,370
DHI,371
EFX,372
PG,373
DELL,374
PHM,374
FOX,375
AMZN,376
CTRA,377
MSI,377
PGR,377
WRB,378
JBHT,379
SBUX,380
HLT,381
AZO,381
TSCO,382
HON,383
CTAS,383
GOOGL,384
JNPR,385
ODFL,386
RVTY,387
GILD,388
XYL,389
KDP,390
WAB,391
BXP,392
MPWR,392
MAA,393
CRM,394
IEX,395
NXPI,396
IDXX,397
CEG,398
MCK,399
